CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
585,AVENIDA,"FALCON, RAMON L.,CNEL.","FALCON, RAMON L.,CNEL. y OLIVERA AV.",MOTO
586,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y NOGOYA,PEATON
587,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y TINOGASTA,MOTO
588,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. y DE LA TORRE, LISANDRO",AUTO
589,AVENIDA,SALTA,SALTA y CASEROS AV.,MOTO
590,CALLE,"JAURES, JEAN","JAURES, JEAN y PERON, JUAN DOMINGO, TTE. GENERAL",PEATON
591,AVENIDA,TRIUNVIRATO AV.,"TRIUNVIRATO AV. y LARRALDE, CRISOLOGO AV.",MOTO
592,CALLE,POTOSI,POTOSI y GASCON,PEATON
593,CALLE,"YRIGOYEN, HIPOLITO","YRIGOYEN, HIPOLITO y 24 DE NOVIEMBRE",MOTO
594,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y ROOSEVELT FRANKLIN D.,PASAJEROS
595,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,"AU BUENOS AIRES LA PLATA  KM 4,5",MOTO
596,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. y PIEDRA BUENA AV.",BICICLETA
597,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.",MOTO
598,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y QUINQUELA MARTIN, BENITO",MOTO
599,AVENIDA,COREA AV.,"COREA AV. y TORRES Y TENORIO, PRES.",PEATON
600,AVENIDA,"FALCON, RAMON L.,CNEL.","FALCON, RAMON L.,CNEL. y SAN PEDRITO AV.",AUTO
601,CALLE,FINOCHIETTO ENRIQUE DR.,FINOCHIETTO ENRIQUE DR. 1623,PEATON
602,AVENIDA,9 DE JULIO AV.,9 DE JULIO AV. e INDEPENDENCIA AV.,PEATON
603,AUTOPISTA,"CANTILO, INT.","CANTILO, INT. y GUIRALDES, INT.",PEATON
604,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y BOEDO AV.,AUTO
605,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y ZAVALETA",MOTO
606,AVENIDA,"JANER, ANA MARIA","JANER, ANA MARIA y LAFUENTE AV.",MOTO
607,AVENIDA,MONROE,"MONROE y BALBIN, RICARDO, DR. AV.",PEATON
608,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y SANTA FE AV.",MOTO
609,AVENIDA,OLIDEN,"OLIDEN y ALBERDI, JUAN BAUTISTA AV.",BICICLETA
610,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y CASARES AV.,PEATON
611,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 10900,PEATON
612,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y PILAR",PEATON
613,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. y ACOSTA, MARIANO",MOTO
614,AVENIDA,ELCANO AV.,ELCANO AV. y GUZMAN AV.,AUTO
615,AVENIDA,"VEDIA, AGUSTIN DE","VEDIA, AGUSTIN DE y RABANAL, FRANCISCO, INTENDENTE AV.",MOTO
