FechaID,FECHA,AAAA,MM,DD,HORA,HH
438,2019-03-15,2019,3,15,0 days 00:00:00,0
439,2019-03-16,2019,3,16,0 days 08:28:00,8
440,2019-03-19,2019,3,19,0 days 07:12:00,7
441,2019-03-22,2019,3,22,0 days 13:10:00,13
442,2019-03-28,2019,3,28,0 days 07:32:00,7
443,2019-03-28,2019,3,28,0 days 11:11:00,11
444,2019-04-06,2019,4,6,0 days 09:15:00,9
445,2019-04-07,2019,4,7,0 days 10:15:00,10
446,2019-04-09,2019,4,9,0 days 16:00:00,16
447,2019-04-12,2019,4,12,0 days 19:55:00,19
448,2019-04-16,2019,4,16,0 days 11:00:00,11
449,2019-04-18,2019,4,18,0 days 01:00:00,1
450,2019-04-21,2019,4,21,0 days 09:08:00,9
451,2019-04-23,2019,4,23,0 days 14:10:00,14
452,2019-04-26,2019,4,26,0 days 22:46:00,22
453,2019-05-01,2019,5,1,0 days 23:10:00,23
454,2019-05-04,2019,5,4,0 days 14:10:00,14
455,2019-05-09,2019,5,9,0 days 03:05:00,3
456,2019-05-09,2019,5,9,0 days 12:45:00,12
457,2019-05-11,2019,5,11,0 days 20:30:00,20
458,2019-05-14,2019,5,14,0 days 15:00:00,15
459,2019-05-21,2019,5,21,0 days 09:00:00,9
460,2019-05-27,2019,5,27,0 days 12:45:00,12
461,2019-06-03,2019,6,3,0 days 07:27:00,7
462,2019-06-04,2019,6,4,0 days 09:00:00,9
463,2019-06-06,2019,6,6,0 days 10:00:00,10
464,2019-06-07,2019,6,7,0 days 07:00:00,7
465,2019-06-08,2019,6,8,0 days 09:20:00,9
466,2019-06-08,2019,6,8,0 days 23:35:00,23
467,2019-06-11,2019,6,11,0 days 10:00:00,10
468,2019-06-14,2019,6,14,0 days 17:20:00,17
469,2019-06-20,2019,6,20,0 days 03:00:00,3
470,2019-06-20,2019,6,20,0 days 19:45:00,19
471,2019-06-29,2019,6,29,0 days 17:16:00,17
472,2019-07-05,2019,7,5,0 days 19:00:00,19
